Indicators,Period,State,Gender,Age ,Data Source,Program Area,Values
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Gombe,Male,15-49 years,UNAIDS,HIV,48
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Gombe,Female,15-49 years,UNAIDS,HIV,136
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Gombe,Male,15-49 years,UNAIDS,HIV,248
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Gombe,Female,15-49 years,UNAIDS,HIV,89
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Gombe,Male,15-49 years,UNAIDS,HIV,192
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Gombe,Female,15-49 years,UNAIDS,HIV,78
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Gombe,Male,15-49 years,UNAIDS,HIV,118
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Gombe,Female,15-49 years,UNAIDS,HIV,71
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Gombe,Male,15-49 years,UNAIDS,HIV,48
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Gombe,Female,15-49 years,UNAIDS,HIV,75
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Gombe,Male,15-49 years,UNAIDS,HIV,183
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Gombe,Female,15-49 years,UNAIDS,HIV,85
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Gombe,Male,15-49 years,UNAIDS,HIV,222
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Gombe,Female,15-49 years,UNAIDS,HIV,232
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Gombe,Male,15-49 years,UNAIDS,HIV,157
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Gombe,Male,15-49 years,UNAIDS,HIV,213
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Gombe,Female,15-49 years,UNAIDS,HIV,46
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Gombe,Male,15-49 years,UNAIDS,HIV,63
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Gombe,Female,15-49 years,UNAIDS,HIV,167
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Imo,Female,15-49 years,UNAIDS,HIV,133
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Imo,Male,15-49 years,UNAIDS,HIV,92
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Imo,Female,15-49 years,UNAIDS,HIV,46
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Imo,Male,15-49 years,UNAIDS,HIV,138
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Imo,Female,15-49 years,UNAIDS,HIV,53
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Imo,Male,15-49 years,UNAIDS,HIV,40
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Imo,Female,15-49 years,UNAIDS,HIV,195
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Imo,Male,15-49 years,UNAIDS,HIV,221
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Imo,Female,15-49 years,UNAIDS,HIV,119
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Imo,Male,15-49 years,UNAIDS,HIV,231
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Imo,Female,15-49 years,UNAIDS,HIV,176
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Imo,Male,15-49 years,UNAIDS,HIV,66
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Imo,Female,15-49 years,UNAIDS,HIV,182
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Imo,Male,15-49 years,UNAIDS,HIV,94
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Imo,Female,15-49 years,UNAIDS,HIV,161
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Imo,Male,15-49 years,UNAIDS,HIV,186
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Imo,Female,15-49 years,UNAIDS,HIV,91
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Imo,Male,15-49 years,UNAIDS,HIV,86
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Imo,Female,15-49 years,UNAIDS,HIV,168
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Imo,Male,15-49 years,UNAIDS,HIV,109
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Imo,Male,15-49 years,UNAIDS,HIV,124
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Imo,Female,15-49 years,UNAIDS,HIV,227
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Imo,Male,15-49 years,UNAIDS,HIV,107
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Imo,Female,15-49 years,UNAIDS,HIV,194
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Jigawa,Female,15-49 years,UNAIDS,HIV,198
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Jigawa,Male,15-49 years,UNAIDS,HIV,78
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Jigawa,Female,15-49 years,UNAIDS,HIV,44
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Jigawa,Male,15-49 years,UNAIDS,HIV,178
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Jigawa,Female,15-49 years,UNAIDS,HIV,132
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Jigawa,Male,15-49 years,UNAIDS,HIV,33
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Jigawa,Female,15-49 years,UNAIDS,HIV,175
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Jigawa,Male,15-49 years,UNAIDS,HIV,139
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Jigawa,Female,15-49 years,UNAIDS,HIV,233
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Jigawa,Male,15-49 years,UNAIDS,HIV,153
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Jigawa,Female,15-49 years,UNAIDS,HIV,107
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Jigawa,Male,15-49 years,UNAIDS,HIV,205
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Jigawa,Female,15-49 years,UNAIDS,HIV,246
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Jigawa,Male,15-49 years,UNAIDS,HIV,166
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Jigawa,Female,15-49 years,UNAIDS,HIV,26
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Jigawa,Male,15-49 years,UNAIDS,HIV,241
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Jigawa,Female,15-49 years,UNAIDS,HIV,158
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Jigawa,Male,15-49 years,UNAIDS,HIV,122
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Jigawa,Female,15-49 years,UNAIDS,HIV,170
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Jigawa,Male,15-49 years,UNAIDS,HIV,167
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Jigawa,Male,15-49 years,UNAIDS,HIV,149
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Jigawa,Female,15-49 years,UNAIDS,HIV,197
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Jigawa,Male,15-49 years,UNAIDS,HIV,127
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Jigawa,Female,15-49 years,UNAIDS,HIV,84
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Kaduna,Female,15-49 years,UNAIDS,HIV,87
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Kaduna,Male,15-49 years,UNAIDS,HIV,53
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Kaduna,Female,15-49 years,UNAIDS,HIV,150
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Kaduna,Male,15-49 years,UNAIDS,HIV,112
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Kaduna,Female,15-49 years,UNAIDS,HIV,33
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Kaduna,Male,15-49 years,UNAIDS,HIV,54
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Kaduna,Female,15-49 years,UNAIDS,HIV,116
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Kaduna,Male,15-49 years,UNAIDS,HIV,159
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Kaduna,Female,15-49 years,UNAIDS,HIV,62
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Kaduna,Male,15-49 years,UNAIDS,HIV,173
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Kaduna,Female,15-49 years,UNAIDS,HIV,180
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Kaduna,Male,15-49 years,UNAIDS,HIV,47
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Kaduna,Female,15-49 years,UNAIDS,HIV,237
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Kaduna,Male,15-49 years,UNAIDS,HIV,117
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Kaduna,Female,15-49 years,UNAIDS,HIV,215
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Kaduna,Male,15-49 years,UNAIDS,HIV,245
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Kaduna,Female,15-49 years,UNAIDS,HIV,27
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Kaduna,Male,15-49 years,UNAIDS,HIV,214
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Kaduna,Female,15-49 years,UNAIDS,HIV,33
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Kaduna,Male,15-49 years,UNAIDS,HIV,42
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Kaduna,Male,15-49 years,UNAIDS,HIV,208
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Kaduna,Female,15-49 years,UNAIDS,HIV,52
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Kaduna,Male,15-49 years,UNAIDS,HIV,207
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Kaduna,Female,15-49 years,UNAIDS,HIV,105
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Kano,Female,15-49 years,UNAIDS,HIV,237
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Kano,Male,15-49 years,UNAIDS,HIV,47
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Kano,Female,15-49 years,UNAIDS,HIV,190
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Kano,Male,15-49 years,UNAIDS,HIV,87
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Kano,Female,15-49 years,UNAIDS,HIV,81
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Kano,Male,15-49 years,UNAIDS,HIV,177
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Kano,Female,15-49 years,UNAIDS,HIV,34
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Kano,Male,15-49 years,UNAIDS,HIV,132
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Kano,Female,15-49 years,UNAIDS,HIV,112
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Kano,Male,15-49 years,UNAIDS,HIV,62
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Kano,Female,15-49 years,UNAIDS,HIV,173
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Kano,Male,15-49 years,UNAIDS,HIV,150
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Kano,Female,15-49 years,UNAIDS,HIV,123
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Kano,Male,15-49 years,UNAIDS,HIV,114
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Kano,Female,15-49 years,UNAIDS,HIV,25
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Kano,Male,15-49 years,UNAIDS,HIV,70
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Kano,Female,15-49 years,UNAIDS,HIV,196
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Kano,Male,15-49 years,UNAIDS,HIV,93
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Kano,Female,15-49 years,UNAIDS,HIV,188
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Kano,Male,15-49 years,UNAIDS,HIV,102
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Kano,Male,15-49 years,UNAIDS,HIV,98
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Kano,Female,15-49 years,UNAIDS,HIV,219
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Kano,Male,15-49 years,UNAIDS,HIV,186
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Kano,Female,15-49 years,UNAIDS,HIV,99
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Katsina,Female,15-49 years,UNAIDS,HIV,140
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Katsina,Male,15-49 years,UNAIDS,HIV,211
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Katsina,Female,15-49 years,UNAIDS,HIV,240
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Katsina,Male,15-49 years,UNAIDS,HIV,61
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Katsina,Female,15-49 years,UNAIDS,HIV,231
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Katsina,Male,15-49 years,UNAIDS,HIV,219
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Katsina,Female,15-49 years,UNAIDS,HIV,59
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Katsina,Male,15-49 years,UNAIDS,HIV,55
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Katsina,Female,15-49 years,UNAIDS,HIV,190
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Katsina,Male,15-49 years,UNAIDS,HIV,234
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Katsina,Female,15-49 years,UNAIDS,HIV,180
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Katsina,Male,15-49 years,UNAIDS,HIV,31
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Katsina,Female,15-49 years,UNAIDS,HIV,61
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Katsina,Male,15-49 years,UNAIDS,HIV,187
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Katsina,Female,15-49 years,UNAIDS,HIV,56
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Katsina,Male,15-49 years,UNAIDS,HIV,46
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Katsina,Female,15-49 years,UNAIDS,HIV,125
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Katsina,Male,15-49 years,UNAIDS,HIV,70
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Katsina,Female,15-49 years,UNAIDS,HIV,126
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Katsina,Male,15-49 years,UNAIDS,HIV,188
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Katsina,Male,15-49 years,UNAIDS,HIV,157
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Katsina,Female,15-49 years,UNAIDS,HIV,218
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Katsina,Male,15-49 years,UNAIDS,HIV,234
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Katsina,Female,15-49 years,UNAIDS,HIV,153
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Kebbi,Female,15-49 years,UNAIDS,HIV,69
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Kebbi,Male,15-49 years,UNAIDS,HIV,103
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Kebbi,Female,15-49 years,UNAIDS,HIV,106
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Kebbi,Male,15-49 years,UNAIDS,HIV,107
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Kebbi,Female,15-49 years,UNAIDS,HIV,145
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Kebbi,Male,15-49 years,UNAIDS,HIV,211
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Kebbi,Female,15-49 years,UNAIDS,HIV,240
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Kebbi,Male,15-49 years,UNAIDS,HIV,116
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Kebbi,Female,15-49 years,UNAIDS,HIV,175
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Kebbi,Male,15-49 years,UNAIDS,HIV,214
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Kebbi,Female,15-49 years,UNAIDS,HIV,63
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Kebbi,Male,15-49 years,UNAIDS,HIV,220
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Kebbi,Female,15-49 years,UNAIDS,HIV,161
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Kebbi,Male,15-49 years,UNAIDS,HIV,68
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Kebbi,Female,15-49 years,UNAIDS,HIV,126
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Kebbi,Male,15-49 years,UNAIDS,HIV,190
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Kebbi,Female,15-49 years,UNAIDS,HIV,96
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Kebbi,Male,15-49 years,UNAIDS,HIV,184
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Kebbi,Female,15-49 years,UNAIDS,HIV,69
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Kebbi,Male,15-49 years,UNAIDS,HIV,60
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Kebbi,Male,15-49 years,UNAIDS,HIV,224
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Kebbi,Female,15-49 years,UNAIDS,HIV,244
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Kebbi,Male,15-49 years,UNAIDS,HIV,227
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Kebbi,Female,15-49 years,UNAIDS,HIV,110
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Kogi,Female,15-49 years,UNAIDS,HIV,114
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Kogi,Male,15-49 years,UNAIDS,HIV,161
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Kogi,Female,15-49 years,UNAIDS,HIV,209
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Kogi,Male,15-49 years,UNAIDS,HIV,86
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Kogi,Female,15-49 years,UNAIDS,HIV,209
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Kogi,Male,15-49 years,UNAIDS,HIV,140
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Kogi,Female,15-49 years,UNAIDS,HIV,138
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Kogi,Male,15-49 years,UNAIDS,HIV,186
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Kogi,Female,15-49 years,UNAIDS,HIV,195
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Kogi,Male,15-49 years,UNAIDS,HIV,212
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Kogi,Female,15-49 years,UNAIDS,HIV,94
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Kogi,Male,15-49 years,UNAIDS,HIV,176
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Kogi,Female,15-49 years,UNAIDS,HIV,235
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Kogi,Male,15-49 years,UNAIDS,HIV,40
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Kogi,Female,15-49 years,UNAIDS,HIV,60
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Kogi,Male,15-49 years,UNAIDS,HIV,219
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Kogi,Female,15-49 years,UNAIDS,HIV,90
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Kogi,Male,15-49 years,UNAIDS,HIV,25
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Kogi,Female,15-49 years,UNAIDS,HIV,49
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Kogi,Male,15-49 years,UNAIDS,HIV,116
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Kogi,Male,15-49 years,UNAIDS,HIV,192
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Kogi,Female,15-49 years,UNAIDS,HIV,112
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Kogi,Male,15-49 years,UNAIDS,HIV,159
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Kogi,Female,15-49 years,UNAIDS,HIV,146
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Kwara,Female,15-49 years,UNAIDS,HIV,27
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Kwara,Male,15-49 years,UNAIDS,HIV,145
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Kwara,Female,15-49 years,UNAIDS,HIV,220
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Kwara,Male,15-49 years,UNAIDS,HIV,25
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Kwara,Female,15-49 years,UNAIDS,HIV,146
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Kwara,Male,15-49 years,UNAIDS,HIV,45
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Kwara,Female,15-49 years,UNAIDS,HIV,189
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Kwara,Male,15-49 years,UNAIDS,HIV,26
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Kwara,Female,15-49 years,UNAIDS,HIV,25
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Kwara,Male,15-49 years,UNAIDS,HIV,51
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Kwara,Female,15-49 years,UNAIDS,HIV,209
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Kwara,Male,15-49 years,UNAIDS,HIV,62
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Kwara,Female,15-49 years,UNAIDS,HIV,236
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Kwara,Male,15-49 years,UNAIDS,HIV,182
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Kwara,Female,15-49 years,UNAIDS,HIV,90
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Kwara,Male,15-49 years,UNAIDS,HIV,219
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Kwara,Female,15-49 years,UNAIDS,HIV,212
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Kwara,Male,15-49 years,UNAIDS,HIV,216
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Kwara,Female,15-49 years,UNAIDS,HIV,110
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Kwara,Male,15-49 years,UNAIDS,HIV,178
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Kwara,Male,15-49 years,UNAIDS,HIV,91
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Kwara,Female,15-49 years,UNAIDS,HIV,140
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Kwara,Male,15-49 years,UNAIDS,HIV,103
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Kwara,Female,15-49 years,UNAIDS,HIV,178
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Lagos,Female,15-49 years,UNAIDS,HIV,47
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Lagos,Male,15-49 years,UNAIDS,HIV,186
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Lagos,Female,15-49 years,UNAIDS,HIV,243
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Lagos,Male,15-49 years,UNAIDS,HIV,38
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Lagos,Female,15-49 years,UNAIDS,HIV,123
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Lagos,Male,15-49 years,UNAIDS,HIV,199
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Lagos,Female,15-49 years,UNAIDS,HIV,96
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Lagos,Male,15-49 years,UNAIDS,HIV,187
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Lagos,Female,15-49 years,UNAIDS,HIV,81
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Lagos,Male,15-49 years,UNAIDS,HIV,160
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Lagos,Female,15-49 years,UNAIDS,HIV,124
Percentage of people age 15-49 years who have been tested for HIV and know their results,2005,Lagos,Male,15-49 years,UNAIDS,HIV,241
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Lagos,Female,15-49 years,UNAIDS,HIV,102
Percentage of people age 15-49 years who have been tested for HIV and know their results,2006,Lagos,Male,15-49 years,UNAIDS,HIV,199
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Lagos,Female,15-49 years,UNAIDS,HIV,127
Percentage of people age 15-49 years who have been tested for HIV and know their results,2007,Lagos,Male,15-49 years,UNAIDS,HIV,71
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Lagos,Female,15-49 years,UNAIDS,HIV,212
Percentage of people age 15-49 years who have been tested for HIV and know their results,2008,Lagos,Male,15-49 years,UNAIDS,HIV,244
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Lagos,Female,15-49 years,UNAIDS,HIV,186
Percentage of people age 15-49 years who have been tested for HIV and know their results,2009,Lagos,Male,15-49 years,UNAIDS,HIV,81
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Lagos,Male,15-49 years,UNAIDS,HIV,163
Percentage of people age 15-49 years who have been tested for HIV and know their results,2010,Lagos,Female,15-49 years,UNAIDS,HIV,209
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Lagos,Male,15-49 years,UNAIDS,HIV,34
Percentage of people age 15-49 years who have been tested for HIV and know their results,2011,Lagos,Female,15-49 years,UNAIDS,HIV,226
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Nasarawa,Female,15-49 years,UNAIDS,HIV,193
Percentage of people age 15-49 years who have been tested for HIV and know their results,2000,Nasarawa,Male,15-49 years,UNAIDS,HIV,236
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Nasarawa,Female,15-49 years,UNAIDS,HIV,108
Percentage of people age 15-49 years who have been tested for HIV and know their results,2001,Nasarawa,Male,15-49 years,UNAIDS,HIV,99
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Nasarawa,Female,15-49 years,UNAIDS,HIV,243
Percentage of people age 15-49 years who have been tested for HIV and know their results,2002,Nasarawa,Male,15-49 years,UNAIDS,HIV,88
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Nasarawa,Female,15-49 years,UNAIDS,HIV,189
Percentage of people age 15-49 years who have been tested for HIV and know their results,2003,Nasarawa,Male,15-49 years,UNAIDS,HIV,236
Percentage of people age 15-49 years who have been tested for HIV and know their results,2004,Nasarawa,Female,15-49 years,UNAIDS,HIV,91
